level,iso,name,population
staat,AT,Österreich,9197213
bundeslandgruppe,AT1,"Ostösterreich",4057593
bundeslandgruppe,AT2,"Südösterreich",1841811
bundeslandgruppe,AT3,"Westösterreich",3297809
region,AT111,"Mittelburgenland",37744
region,AT112,"Nordburgenland",165805
region,AT113,"Südburgenland",98241
region,AT121,"Mostviertel-Eisenwurzen",250792
region,AT122,"Niederösterreich-Süd",268098
region,AT123,"Sankt Pölten",163040
region,AT124,"Waldviertel",215137
region,AT125,"Weinviertel",127215
region,AT126,"Wiener Umland/Nordteil",346557
region,AT127,"Wiener Umland/Südteil",356675
region,AT130,"Wien",2028289
region,AT211,"Klagenfurt-Villach",298721
region,AT212,"Oberkärnten",123597
region,AT213,"Unterkärnten",147777
region,AT221,"Graz",469968
region,AT222,"Liezen",79579
region,AT223,"Östliche Obersteiermark",156148
region,AT224,"Oststeiermark",267391
region,AT225,"West- und Südsteiermark",200216
region,AT226,"Westliche Obersteiermark",98414
region,AT311,"Innviertel",299331
region,AT312,"Linz-Wels",617181
region,AT313,"Mühlviertel",215016
region,AT314,"Steyr-Kirchdorf",158848
region,AT315,"Traunviertel",245143
region,AT321,"Lungau",20460
region,AT322,"Pinzgau-Pongau",173404
region,AT323,"Salzburg und Umgebung",378982
region,AT331,"Außerfern",33946
region,AT332,"Innsbruck",319242
region,AT333,"Osttirol",49011
region,AT334,"Tiroler Oberland",107718
region,AT335,"Tiroler Unterland",267743
region,AT341,"Bludenz-Bregenzer Wald",95029
region,AT342,"Rheintal-Bodenseegebiet",316755
bundesland,1,Burgenland,301790
bundesland,2,Kärnten,570095
bundesland,3,Niederösterreich,1727514
bundesland,4,Oberösterreich,1535519
bundesland,5,Salzburg,572846
bundesland,6,Steiermark,1271716
bundesland,7,Tirol,777660
bundesland,8,Vorarlberg,411784
bundesland,9,Wien,2028289
bezirk,101,"Eisenstadt (Stadt)",16118
bezirk,102,"Rust (Stadt)",1933
bezirk,103,"Eisenstadt-Umgebung",44755
bezirk,104,"Güssing",25852
bezirk,105,"Jennersdorf",17157
bezirk,106,"Mattersburg",41154
bezirk,107,"Neusiedl am See",61845
bezirk,108,"Oberpullendorf",37744
bezirk,109,"Oberwart",55232
bezirk,201,"Klagenfurt (Stadt)",105256
bezirk,202,"Villach (Stadt)",65749
bezirk,203,"Hermagor",17941
bezirk,204,"Klagenfurt Land",62060
bezirk,205,"Sankt Veit an der Glan",53950
bezirk,206,"Spittal an der Drau",75545
bezirk,207,"Villach Land",65656
bezirk,208,"Völkermarkt",41981
bezirk,209,"Wolfsberg",51846
bezirk,210,"Feldkirchen",30111
bezirk,301,"Krems an der Donau (Stadt)",25473
bezirk,302,"Sankt Pölten (Stadt)",59767
bezirk,303,"Waidhofen an der Ybbs (Stadt)",11062
bezirk,304,"Wiener Neustadt (Stadt)",49156
bezirk,305,"Amstetten",118403
